Plate,sample_well,Name,EGF1a,Ta54227,VRN1,VRN2,VRN3,VRN1_TA,VRN2_TA,VRN3_TA,Col,Row,Experiment,Plot.ID.Old,Plot.IDNew,SampleDate,Vern,Cult,Pp,TaNorm
GEP1,F2,SCN267,25.3533333333333,25.4266666666667,31.43,32.835,NaN,0.0155889402582347,0.00588666672451005,0,2,F,3,267,300267,2014-02-04,None,Saracen,16,1.06032906764168
GEP1,F3,SCN118,22.59,22.895,27.6733333333333,28.805,NaN,0.0364399974060104,0.0166307841008337,0,3,F,3,118,300118,2014-02-11,None,Saracen,16,1.06032906764168
GEP1,F4,CRWT184,21.7533333333333,23.925,NaN,29.985,NaN,0,0.0149885018644572,0,4,F,3,184,300184,2014-02-11,None,CRWT153,16,1.06032906764168
GEP1,F5,CRWT32,23.6966666666667,24.77,NaN,32.005,NaN,0,0.00663816405577072,0,5,F,3,32,300032,2014-02-18,None,CRWT153,16,1.06032906764168
GEP1,F7,CRWT37,21.795,23.2,NaN,28.65,NaN,0,0.0228763389991504,0,7,F,3,37,300037,2014-02-25,None,CRWT153,16,1.06032906764168
GEP1,F8,BW238,22.5066666666667,23.4633333333333,NaN,31.61,NaN,0,0.00352865312809056,0,8,F,3,238,300238,2014-02-25,None,Batten Win,16,1.06032906764168
GEP1,F9,SCN286,23.5166666666667,24.67,31.275,31.82,NaN,0.0102729903141021,0.00704101923914712,0,9,F,3,286,300286,2014-02-25,None,Saracen,16,1.06032906764168
GEP1,G1,AMK157,25.16,24.6466666666667,NaN,30.66,NaN,0,0.0154812595822692,0,1,G,3,157,300157,2014-02-04,None,Amarok,16,1.06032906764168
GEP1,G10,BW280,21.6566666666667,22.34,NaN,31.05,NaN,0,0.00238796929236733,0,10,G,3,280,300280,2014-03-04,None,Batten Win,16,1.06032906764168
GEP1,G11,OT203,21.695,22.9333333333333,23.495,NaN,25.2233333333333,0.677519010790553,0,0.204475514639445,11,G,3,203,300203,2014-03-11,None,Otane,16,1.06032906764168
GEP1,G2,OT235,24.61,24.585,28.6433333333333,32.45,NaN,0.0600233090656878,0.00428942505385566,0,2,G,3,235,300235,2014-02-04,None,Otane,16,1.06032906764168
GEP1,G3,SCN53,22.12,22.895,32.095,29.725,NaN,0.00170029406893774,0.00878951941163131,0,3,G,3,53,300053,2014-02-11,None,Saracen,16,1.06032906764168
GEP1,G4,BW224,22.9266666666667,23.36,NaN,31.57,NaN,0,0.00337709855979635,0,4,G,3,224,300224,2014-02-11,None,Batten Win,16,1.06032906764168
GEP1,G5,BS139,21.17,21.7733333333333,24.1,33.44,29.7966666666667,0.1993441720983,0.000307597912571991,0.00384358067776606,5,G,3,139,300139,2014-02-18,None,Batten Spr,16,1.06032906764168
GEP1,G6,SCN312,21.6833333333333,22.825,28.19,29.755,NaN,0.0242646523437825,0.00820091159080522,0,6,G,3,312,300312,2014-02-18,None,Saracen,16,1.06032906764168
GEP1,G7,SCN103,28.355,26.06,26.1733333333333,NaN,NaN,0.92444966021136,0,0,7,G,3,103,300103,2014-02-25,None,Saracen,16,1.06032906764168
GEP1,G9,BW39,22.3166666666667,22.675,NaN,33.15,NaN,0,0.000702604287114659,0,9,G,3,39,300039,2014-03-04,None,Batten Win,16,1.06032906764168
GEP1,H1,OT211,25.275,23.86,25.935,31.985,33.93,0.237335530237629,0.00358204704376825,0.000930310544964782,1,H,3,211,300211,2014-02-04,None,Otane,16,1.06032906764168
