Plate,sample_well,qPCR_well,Name,Cp,gene,Col,Row,Experiment,Plot.ID.Old,Plot.IDNew,SampleDate,Vern,Cult,Pp,reason,exclude.all,exclude.VRN1,exclude.VRN2,exclude.Vrn3,exclude.EGF1a,exclude.Ta54227
GEP1,A2,A3,CRWT262,NA,EGF1a,2,A,3,262,300262,2014-02-04,None,CRWT153,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A2,A4,CRWT262,21.13,EGF1a,2,A,3,262,300262,2014-02-04,None,CRWT153,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A2,B3,CRWT262,21.24,EGF1a,2,A,3,262,300262,2014-02-04,None,CRWT153,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A2,A3,CRWT262,22.83,Ta54227,2,A,3,262,300262,2014-02-04,None,CRWT153,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A2,A4,CRWT262,22.91,Ta54227,2,A,3,262,300262,2014-02-04,None,CRWT153,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A2,B3,CRWT262,NA,Ta54227,2,A,3,262,300262,2014-02-04,None,CRWT153,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A3,A5,SCN326,NA,VRN1,3,A,3,326,300326,2014-02-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A3,A6,SCN326,28.28,VRN1,3,A,3,326,300326,2014-02-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A3,B5,SCN326,27.87,VRN1,3,A,3,326,300326,2014-02-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A3,A5,SCN326,28.29,VRN2,3,A,3,326,300326,2014-02-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A3,A6,SCN326,27.77,VRN2,3,A,3,326,300326,2014-02-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A3,B5,SCN326,NA,VRN2,3,A,3,326,300326,2014-02-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A3,A5,SCN326,NA,VRN3,3,A,3,326,300326,2014-02-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A3,A6,SCN326,NA,VRN3,3,A,3,326,300326,2014-02-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A3,B5,SCN326,NA,VRN3,3,A,3,326,300326,2014-02-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A3,A5,SCN326,20.75,EGF1a,3,A,3,326,300326,2014-02-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A3,A6,SCN326,20.66,EGF1a,3,A,3,326,300326,2014-02-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A3,B5,SCN326,20.74,EGF1a,3,A,3,326,300326,2014-02-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A3,A5,SCN326,21.48,Ta54227,3,A,3,326,300326,2014-02-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A3,A6,SCN326,21.39,Ta54227,3,A,3,326,300326,2014-02-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A3,B5,SCN326,NA,Ta54227,3,A,3,326,300326,2014-02-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A4,A7,OT55,NA,VRN1,4,A,3,55,300055,2014-02-11,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A4,A8,OT55,25.76,VRN1,4,A,3,55,300055,2014-02-11,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A4,B7,OT55,25.76,VRN1,4,A,3,55,300055,2014-02-11,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A4,A7,OT55,31.37,VRN2,4,A,3,55,300055,2014-02-11,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A4,A8,OT55,31.58,VRN2,4,A,3,55,300055,2014-02-11,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A4,B7,OT55,NA,VRN2,4,A,3,55,300055,2014-02-11,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A4,A7,OT55,NA,VRN3,4,A,3,55,300055,2014-02-11,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A4,A8,OT55,NA,VRN3,4,A,3,55,300055,2014-02-11,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A4,B7,OT55,NA,VRN3,4,A,3,55,300055,2014-02-11,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A4,A7,OT55,22.24,EGF1a,4,A,3,55,300055,2014-02-11,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A4,A8,OT55,NA,EGF1a,4,A,3,55,300055,2014-02-11,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A4,B7,OT55,22.26,EGF1a,4,A,3,55,300055,2014-02-11,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A4,A7,OT55,NA,Ta54227,4,A,3,55,300055,2014-02-11,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A4,A8,OT55,22.63,Ta54227,4,A,3,55,300055,2014-02-11,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A4,B7,OT55,22.71,Ta54227,4,A,3,55,300055,2014-02-11,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A5,A10,AMK212,NA,VRN1,5,A,3,212,300212,2014-02-11,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A5,A9,AMK212,NA,VRN1,5,A,3,212,300212,2014-02-11,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A5,B9,AMK212,NA,VRN1,5,A,3,212,300212,2014-02-11,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A5,A10,AMK212,29.23,VRN2,5,A,3,212,300212,2014-02-11,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A5,A9,AMK212,29.45,VRN2,5,A,3,212,300212,2014-02-11,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A5,B9,AMK212,NA,VRN2,5,A,3,212,300212,2014-02-11,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A5,A10,AMK212,NA,VRN3,5,A,3,212,300212,2014-02-11,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A5,A9,AMK212,NA,VRN3,5,A,3,212,300212,2014-02-11,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A5,B9,AMK212,NA,VRN3,5,A,3,212,300212,2014-02-11,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A5,A10,AMK212,NA,EGF1a,5,A,3,212,300212,2014-02-11,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A5,A9,AMK212,22.23,EGF1a,5,A,3,212,300212,2014-02-11,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A5,B9,AMK212,22.33,EGF1a,5,A,3,212,300212,2014-02-11,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A5,A10,AMK212,22.98,Ta54227,5,A,3,212,300212,2014-02-11,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A5,A9,AMK212,22.79,Ta54227,5,A,3,212,300212,2014-02-11,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A5,B9,AMK212,22.9,Ta54227,5,A,3,212,300212,2014-02-11,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A6,A11,BW96,NA,VRN1,6,A,3,96,300096,2014-02-18,None,Batten Win,16,repeated,Y,NA,NA,NA,NA,NA
GEP1,A6,A12,BW96,NA,VRN1,6,A,3,96,300096,2014-02-18,None,Batten Win,16,repeated,Y,NA,NA,NA,NA,NA
GEP1,A6,B11,BW96,NA,VRN1,6,A,3,96,300096,2014-02-18,None,Batten Win,16,repeated,Y,NA,NA,NA,NA,NA
GEP1,A6,A11,BW96,NA,VRN2,6,A,3,96,300096,2014-02-18,None,Batten Win,16,repeated,Y,NA,NA,NA,NA,NA
GEP1,A6,A12,BW96,NA,VRN2,6,A,3,96,300096,2014-02-18,None,Batten Win,16,repeated,Y,NA,NA,NA,NA,NA
GEP1,A6,B11,BW96,NA,VRN2,6,A,3,96,300096,2014-02-18,None,Batten Win,16,repeated,Y,NA,NA,NA,NA,NA
GEP1,A6,A11,BW96,NA,VRN3,6,A,3,96,300096,2014-02-18,None,Batten Win,16,repeated,Y,NA,NA,NA,NA,NA
GEP1,A6,A12,BW96,NA,VRN3,6,A,3,96,300096,2014-02-18,None,Batten Win,16,repeated,Y,NA,NA,NA,NA,NA
GEP1,A6,B11,BW96,NA,VRN3,6,A,3,96,300096,2014-02-18,None,Batten Win,16,repeated,Y,NA,NA,NA,NA,NA
GEP1,A6,A11,BW96,NA,EGF1a,6,A,3,96,300096,2014-02-18,None,Batten Win,16,repeated,Y,NA,NA,NA,NA,NA
GEP1,A6,A12,BW96,NA,EGF1a,6,A,3,96,300096,2014-02-18,None,Batten Win,16,repeated,Y,NA,NA,NA,NA,NA
GEP1,A6,B11,BW96,NA,EGF1a,6,A,3,96,300096,2014-02-18,None,Batten Win,16,repeated,Y,NA,NA,NA,NA,NA
GEP1,A6,A11,BW96,21.67,Ta54227,6,A,3,96,300096,2014-02-18,None,Batten Win,16,repeated,Y,NA,NA,NA,NA,NA
GEP1,A6,A12,BW96,21.76,Ta54227,6,A,3,96,300096,2014-02-18,None,Batten Win,16,repeated,Y,NA,NA,NA,NA,NA
GEP1,A6,B11,BW96,NA,Ta54227,6,A,3,96,300096,2014-02-18,None,Batten Win,16,repeated,Y,NA,NA,NA,NA,NA
GEP1,A7,A13,OT242,21.68,VRN1,7,A,3,242,300242,2014-02-18,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A7,A14,OT242,NA,VRN1,7,A,3,242,300242,2014-02-18,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A7,B13,OT242,21.56,VRN1,7,A,3,242,300242,2014-02-18,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A7,A13,OT242,NA,VRN2,7,A,3,242,300242,2014-02-18,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A7,A14,OT242,NA,VRN2,7,A,3,242,300242,2014-02-18,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A7,B13,OT242,NA,VRN2,7,A,3,242,300242,2014-02-18,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A7,A13,OT242,25.54,VRN3,7,A,3,242,300242,2014-02-18,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A7,A14,OT242,NA,VRN3,7,A,3,242,300242,2014-02-18,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A7,B13,OT242,24.72,VRN3,7,A,3,242,300242,2014-02-18,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A7,A13,OT242,NA,EGF1a,7,A,3,242,300242,2014-02-18,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A7,A14,OT242,21.29,EGF1a,7,A,3,242,300242,2014-02-18,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A7,B13,OT242,20.97,EGF1a,7,A,3,242,300242,2014-02-18,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A7,A13,OT242,21.84,Ta54227,7,A,3,242,300242,2014-02-18,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A7,A14,OT242,NA,Ta54227,7,A,3,242,300242,2014-02-18,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A7,B13,OT242,21.99,Ta54227,7,A,3,242,300242,2014-02-18,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A8,A15,OT84,23.9,VRN1,8,A,3,84,300084,2014-02-25,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A8,A16,OT84,23.8,VRN1,8,A,3,84,300084,2014-02-25,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A8,B15,OT84,NA,VRN1,8,A,3,84,300084,2014-02-25,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A8,A15,OT84,NA,VRN2,8,A,3,84,300084,2014-02-25,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A8,A16,OT84,NA,VRN2,8,A,3,84,300084,2014-02-25,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A8,B15,OT84,NA,VRN2,8,A,3,84,300084,2014-02-25,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A8,A15,OT84,NA,VRN3,8,A,3,84,300084,2014-02-25,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A8,A16,OT84,26.84,VRN3,8,A,3,84,300084,2014-02-25,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A8,B15,OT84,27.19,VRN3,8,A,3,84,300084,2014-02-25,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A8,A15,OT84,24.44,EGF1a,8,A,3,84,300084,2014-02-25,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A8,A16,OT84,24.55,EGF1a,8,A,3,84,300084,2014-02-25,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A8,B15,OT84,24.4,EGF1a,8,A,3,84,300084,2014-02-25,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A8,A15,OT84,23.49,Ta54227,8,A,3,84,300084,2014-02-25,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A8,A16,OT84,23.93,Ta54227,8,A,3,84,300084,2014-02-25,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A8,B15,OT84,24.32,Ta54227,8,A,3,84,300084,2014-02-25,None,Otane,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A9,A17,AMK159,NA,VRN1,9,A,3,159,300159,2014-02-25,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A9,A18,AMK159,NA,VRN1,9,A,3,159,300159,2014-02-25,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A9,B17,AMK159,NA,VRN1,9,A,3,159,300159,2014-02-25,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A9,A17,AMK159,NA,VRN2,9,A,3,159,300159,2014-02-25,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A9,A18,AMK159,29.46,VRN2,9,A,3,159,300159,2014-02-25,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A9,B17,AMK159,29.28,VRN2,9,A,3,159,300159,2014-02-25,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A9,A17,AMK159,NA,VRN3,9,A,3,159,300159,2014-02-25,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A9,A18,AMK159,NA,VRN3,9,A,3,159,300159,2014-02-25,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A9,B17,AMK159,NA,VRN3,9,A,3,159,300159,2014-02-25,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A9,A17,AMK159,NA,EGF1a,9,A,3,159,300159,2014-02-25,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A9,A18,AMK159,21.71,EGF1a,9,A,3,159,300159,2014-02-25,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
