ex_sample_plate,ex_sample_plate_well,Name,sample_well,EGF1a,Ta54227,VRN1,VRN2,VRN3,VRN1_TA,VRN2_TA,VRN3_TA,Col,Row,Experiment,Plot.ID.Old,Plot.IDNew,SampleDate,Vern,Cult,Pp
GEP7,A6,CRWT310,E12,25.81,28.9,NaN,NaN,NaN,0,0,0,6,A,4,310,400310,2014-09-22,None,CRWT153,8
GEP7,A7,BW264,E7,22.72,24.64,27.6433333333333,NaN,31.4566666666667,0.124711522065878,0,0.00887112835211623,7,A,4,264,400264,2014-09-22,None,Batten Win,8
GEP7,A8,CRWT1255,F12,24.7366666666667,27.93,28.82,NaN,NaN,0.539614118252213,0,0,8,A,4,1255,401255,2014-09-23,Full,CRWT153,8
GEP7,B2,BW237,E5,20.6433333333333,23.5633333333333,32.46,NaN,NaN,0.00209814970315095,0,0,2,B,4,237,400237,2014-09-08,None,Batten Win,8
GEP7,B3,SCN136,C6,21.3833333333333,23.6733333333333,26.14,NaN,32.965,0.180908654680047,0,0.00159562055980576,3,B,4,136,400136,2014-09-08,None,Saracen,8
GEP7,B5,AMK214,H6,22.5366666666667,25.055,34.35,32.6933333333333,NaN,0.00159193814922388,0.00501917744552666,0,5,B,4,214,400214,2014-09-15,None,Amarok,8
GEP7,C10,CRWT300,B8,21.4966666666667,23.7533333333333,26.0266666666667,NaN,30.525,0.206851405675003,0,0.00915219390230171,10,C,4,300,400300,2014-09-29,None,CRWT153,8
GEP7,C11,BW286,C8,22.21,24.82,33.935,NaN,NaN,0.00180348107564335,0,0,11,C,4,286,400286,2014-09-29,None,Batten Win,8
GEP7,C3,OT37,D6,22.3,23.86,24.585,NaN,29.005,0.604997044609646,0,0.0282618555487839,3,C,4,37,400037,2014-09-15,None,Otane,8
GEP7,C4,CRWT316,F6,22.5933333333333,24.8033333333333,29.75,NaN,33.58,0.0324268643487421,0,0.00228013242921284,4,C,4,316,400316,2014-09-15,None,CRWT153,8
GEP7,C8,AMK1154,F7,23.035,25.3566666666667,26.5866666666667,32.685,NaN,0.426317445883978,0.00622231292657949,0,8,C,4,1154,401154,2014-09-23,Full,Amarok,8
GEP7,D11,BW217,D8,19.9,22.4666666666667,31.23,NaN,NaN,0.00230130300555482,0,0,11,D,4,217,400217,2014-09-29,None,Batten Win,8
GEP7,D2,BW265,F5,20.97,23.4566666666667,30.99,NaN,34.07,0.00539809718737413,0,0.000638363890235406,2,D,4,265,400265,2014-09-08,None,Batten Win,8
GEP7,D4,CRWT336,G6,22.38,24.635,NaN,NaN,NaN,0,0,0,4,D,4,336,400336,2014-09-15,None,CRWT153,8
GEP7,D5,AMK196,A7,22.94,25.835,NaN,31.465,NaN,0,0.0201930129787108,0,5,D,4,196,400196,2014-09-15,None,Amarok,8
GEP7,D6,AMK185,D7,22.7166666666667,24.5,27.2133333333333,32.7466666666667,30.9233333333333,0.152477329970025,0.00329234978419805,0.0116515578160186,6,D,4,185,400185,2014-09-22,None,Amarok,8
GEP7,E1,AMK156,A5,21.7966666666667,24.185,NaN,30.61,NaN,0,0.0116381051806461,0,1,E,4,156,400156,2014-09-08,None,Amarok,8
GEP7,E2,BW244,G5,20.54,23.31,31.71,NaN,34.25,0.00296038391896562,0,0.000509016484785703,2,E,4,244,400244,2014-09-08,None,Batten Win,8
GEP7,E3,OT8,E6,21.29,23.9866666666667,23.93,NaN,28.0833333333333,1.04005993388848,0,0.0584494529906447,3,E,4,8,400008,2014-09-15,None,Otane,8
GEP7,F1,CRWT345,B5,22.4,24.6866666666667,NaN,NaN,NaN,0,0,0,1,F,4,345,400345,2014-09-08,None,CRWT153,8
GEP7,F2,OT30,H5,22.57,24.125,24.13,NaN,26.885,0.996540262827869,0,0.147624082678692,2,F,4,30,400030,2014-09-08,None,Otane,8
GEP7,F5,BS73,B7,21.87,24.2033333333333,25.3866666666667,NaN,32.0633333333333,0.440332936798074,0,0.00430431685889301,5,F,4,73,400073,2014-09-22,None,Batten Spr,8
GEP7,F9,AMK188,G7,22.495,24.7833333333333,33.43,31.55,NaN,0.00249513455532796,0.0091839680178407,0,9,F,4,188,400188,2014-09-29,None,Amarok,8
GEP7,G1,CRWT293,C5,20.8066666666667,23.63,NaN,NaN,NaN,0,0,0,1,G,4,293,400293,2014-09-08,None,CRWT153,8
GEP7,G2,SCN146,A6,20.24,23.32,26.215,NaN,33.835,0.134436798807172,0,0.000683391535935154,2,G,4,146,400146,2014-09-08,None,Saracen,8
GEP7,G9,AMK199,H7,21.515,24.665,34.215,31.74,NaN,0.00133402368823671,0.00741673531992592,0,9,G,4,199,400199,2014-09-29,None,Amarok,8
GEP7,H1,AMK180,D5,21.855,24.2366666666667,NaN,31.98,NaN,0,0.0046668559967032,0,1,H,4,180,400180,2014-09-08,None,Amarok,8
GEP7,H5,AMK212,C7,23.3566666666667,25.1166666666667,34.51,32.5833333333333,NaN,0.00148704772669168,0.00565339545875147,0,5,H,4,212,400212,2014-09-22,None,Amarok,8
GEP7,H9,AMK198,A8,21.84,24.55,34.8,32.815,NaN,0.000821187905521208,0.0032507763074669,0,9,H,4,198,400198,2014-09-29,None,Amarok,8
GEP8,A2,AMK184,F8,22.3133333333333,24.75,31.725,30.985,NaN,0.00794906009455223,0.0132763281115414,0,2,A,4,184,400184,2014-10-06,None,Amarok,8
GEP8,D10,AMK157,G12,24.19,26.77,34.465,32.2533333333333,NaN,0.00482585405127705,0.022353842694301,0,10,D,4,157,400157,2014-10-20,None,Amarok,8
GEP8,G1,AMK176,E8,22.5066666666667,24.59,25.45,31.14,29.71,0.550952557938306,0.0106721895058937,0.0287558640820273,1,G,4,176,400176,2014-10-06,None,Amarok,8
GEP8,H4,CRWT1258,H12,26.49,29.04,29.605,NaN,NaN,0.675955416514062,0,0,4,H,4,1258,401258,2014-10-07,Full,CRWT153,8
GEP9,A3,SCN1115,H8,21.5133333333333,25.06,25.53,NaN,NaN,0.721964597761249,0,0,3,A,4,1115,401115,2014-10-28,Full,Saracen,8
GEP9,A6,BS47,E10,21.585,25.4266666666667,25.83,NaN,NaN,0.756109280119912,0,0,6,A,4,47,400047,2014-10-28,None,Batten Spr,8
GEP9,A7,AMK207,F10,24.7266666666667,28.465,NaN,33.81,NaN,0,0.0246033742677876,0,7,A,4,207,400207,2014-11-03,None,Amarok,8
GEP9,A8,CRWT1244,G10,21.1366666666667,25.12,27.4966666666667,NaN,NaN,0.192553777789194,0,0,8,A,4,1244,401244,2014-11-04,Full,CRWT153,8
GEP9,A9,AMK1156,H10,23.3566666666667,27.61,30.375,33.87,NaN,0.147113342152346,0.0130482487410683,0,9,A,4,1156,401156,2014-11-04,Full,Amarok,8
GEP9,E4,BW239,A9,22.36,25.035,28.615,NaN,NaN,0.0836204721741319,0,0,4,E,4,239,400239,2014-10-28,None,Batten Win,8
GEP9,F1,OT1026,G8,21.71,24.37,25.1366666666667,NaN,30.83,0.587773953141805,0,0.0113591602915649,1,F,4,1026,401026,2014-10-21,Full,Otane,8
GEP9,G4,CRWT307,B9,20.53,24.2,31.975,NaN,NaN,0.00456553612719236,0,0,4,G,4,307,400307,2014-10-28,None,CRWT153,8
