Plate,Name,sample_well,EGF1a,Ta54227,VRN1,VRN2,VRN3,Col,Row,Experiment,Plot_ID_Old,Plot_IDNew,SampleDate,Vern,Cult,Pp,is_repeat,VRN1_EGF,VRN1_Ta,VRN2_EGF,VRN2_Ta,VRN3_EGF,VRN3_Ta
GEP1,SCN101,C6,22.21,23.1733333333333,27.3733333333333,30.075,NA,6,C,3,101,300101,2014-02-18T00:00:00Z,none,Saracen,16,FALSE,0.027904984720637,0.0544094102060078,0.00428942505385567,0.00836356262652103,0,0
GEP1,SCN103,G7,28.355,26.06,26.1733333333333,NA,NA,7,G,3,103,300103,2014-02-25T00:00:00Z,none,Saracen,16,FALSE,4.5367736013628,0.92444966021136,0,0,0,0
GEP1,SCN118,F3,22.59,22.895,27.6733333333333,28.805,NA,3,F,3,118,300118,2014-02-11T00:00:00Z,none,Saracen,16,FALSE,0.0294960722713029,0.0364399974060104,0.0134616587455003,0.0166307841008337,0,0
GEP1,SCN123,A12,20.905,22.28,28.035,30.475,NA,12,A,3,123,300123,2014-03-11T00:00:00Z,none,Saracen,16,FALSE,0.0071393082049172,0.0185170745459622,0.0013156577899079,0.00341239412467459,0,0
GEP1,SCN130,D6,21.8533333333333,22.94,29.025,30.25,NA,6,D,3,130,300130,2014-02-18T00:00:00Z,none,Saracen,16,FALSE,0.00693606595881706,0.0147310083737225,0.00296723176608515,0.00630188874392285,0,0
GEP1,SCN180,G8,23.325,24.605,NA,31.645,NA,8,G,3,180,300180,2014-02-25T00:00:00Z,none,Saracen,16,FALSE,0,0,0.00312917920933446,0.00759886677665849,0,0
GEP1,SCN199,H10,25.71,25.65,NA,33.365,33.52,10,H,3,199,300199,2014-03-04T00:00:00Z,none,Saracen,16,FALSE,0,0,0.00496152727554214,0.0047594150924812,0.00445610826511104,0.00427458477054977
GEP1,SCN2,A10,22.195,22.3033333333333,23.665,32.955,30.735,10,A,3,2,300002,2014-03-04T00:00:00Z,none,Saracen,16,FALSE,0.360982298880624,0.389132486587164,0.000576656572963639,0.000621625511389355,0.00268660511355419,0.00289611244528324
GEP1,SCN267,F2,25.3533333333333,25.4266666666667,31.43,32.835,NA,2,F,3,267,300267,2014-02-04T00:00:00Z,none,Saracen,16,FALSE,0.0148163442371015,0.0155889402582347,0.00559492044710089,0.00588666672451005,0,0
GEP1,SCN286,F9,23.5166666666667,24.67,31.275,31.82,NA,9,F,3,286,300286,2014-02-25T00:00:00Z,none,Saracen,16,FALSE,0.00461858510166855,0.0102729903141021,0.00316553852035134,0.00704101923914712,0,0
