Name,Plate,sample_well,SampleDate,qPCR_well,Cp,gene,Col,Row,Experiment,Plot.ID.Old,Plot.IDNew,Vern,Cult,Pp,reason,exclude.all,exclude.VRN1,exclude.VRN2,exclude.Vrn3,exclude.EGF1a,exclude.Ta54227
AMK1135,GEP9,D12,2014-11-11,G23,25.65,VRN1,12,D,4,1135,401135,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1135,GEP9,D12,2014-11-11,G24,25.71,VRN1,12,D,4,1135,401135,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1135,GEP9,D12,2014-11-11,H23,NA,VRN1,12,D,4,1135,401135,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1135,GEP9,D12,2014-11-11,G23,NA,VRN2,12,D,4,1135,401135,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1135,GEP9,D12,2014-11-11,G24,NA,VRN2,12,D,4,1135,401135,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1135,GEP9,D12,2014-11-11,H23,NA,VRN2,12,D,4,1135,401135,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1135,GEP9,D12,2014-11-11,G23,NA,VRN3,12,D,4,1135,401135,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1135,GEP9,D12,2014-11-11,G24,NA,VRN3,12,D,4,1135,401135,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1135,GEP9,D12,2014-11-11,H23,NA,VRN3,12,D,4,1135,401135,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1135,GEP9,D12,2014-11-11,G23,NA,EGF1a,12,D,4,1135,401135,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1135,GEP9,D12,2014-11-11,G24,25.17,EGF1a,12,D,4,1135,401135,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1135,GEP9,D12,2014-11-11,H23,25.1,EGF1a,12,D,4,1135,401135,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1135,GEP9,D12,2014-11-11,G23,26.7,Ta54227,12,D,4,1135,401135,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1135,GEP9,D12,2014-11-11,G24,NA,Ta54227,12,D,4,1135,401135,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1135,GEP9,D12,2014-11-11,H23,26.69,Ta54227,12,D,4,1135,401135,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1136,GEP9,D2,2014-10-28,G3,27.86,VRN1,2,D,4,1136,401136,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1136,GEP9,D2,2014-10-28,G4,NA,VRN1,2,D,4,1136,401136,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1136,GEP9,D2,2014-10-28,H3,27.76,VRN1,2,D,4,1136,401136,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1136,GEP9,D2,2014-10-28,G3,NA,VRN2,2,D,4,1136,401136,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1136,GEP9,D2,2014-10-28,G4,NA,VRN2,2,D,4,1136,401136,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1136,GEP9,D2,2014-10-28,H3,NA,VRN2,2,D,4,1136,401136,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1136,GEP9,D2,2014-10-28,G3,NA,VRN3,2,D,4,1136,401136,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1136,GEP9,D2,2014-10-28,G4,NA,VRN3,2,D,4,1136,401136,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1136,GEP9,D2,2014-10-28,H3,NA,VRN3,2,D,4,1136,401136,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1136,GEP9,D2,2014-10-28,G3,26.98,EGF1a,2,D,4,1136,401136,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1136,GEP9,D2,2014-10-28,G4,26.77,EGF1a,2,D,4,1136,401136,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1136,GEP9,D2,2014-10-28,H3,26.85,EGF1a,2,D,4,1136,401136,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1136,GEP9,D2,2014-10-28,G3,29.6,Ta54227,2,D,4,1136,401136,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1136,GEP9,D2,2014-10-28,G4,NA,Ta54227,2,D,4,1136,401136,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1136,GEP9,D2,2014-10-28,H3,29.44,Ta54227,2,D,4,1136,401136,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1139,GEP9,D1,2014-10-21,G1,29.94,VRN1,1,D,4,1139,401139,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1139,GEP9,D1,2014-10-21,G2,NA,VRN1,1,D,4,1139,401139,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1139,GEP9,D1,2014-10-21,H1,29.85,VRN1,1,D,4,1139,401139,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1139,GEP9,D1,2014-10-21,G1,32.9,VRN2,1,D,4,1139,401139,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1139,GEP9,D1,2014-10-21,G2,NA,VRN2,1,D,4,1139,401139,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1139,GEP9,D1,2014-10-21,H1,32.87,VRN2,1,D,4,1139,401139,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1139,GEP9,D1,2014-10-21,G1,NA,VRN3,1,D,4,1139,401139,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1139,GEP9,D1,2014-10-21,G2,NA,VRN3,1,D,4,1139,401139,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1139,GEP9,D1,2014-10-21,H1,NA,VRN3,1,D,4,1139,401139,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1139,GEP9,D1,2014-10-21,G1,NA,EGF1a,1,D,4,1139,401139,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1139,GEP9,D1,2014-10-21,G2,25.22,EGF1a,1,D,4,1139,401139,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1139,GEP9,D1,2014-10-21,H1,25.22,EGF1a,1,D,4,1139,401139,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1139,GEP9,D1,2014-10-21,G1,27.36,Ta54227,1,D,4,1139,401139,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1139,GEP9,D1,2014-10-21,G2,27.37,Ta54227,1,D,4,1139,401139,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
