"","Well","Sample_label","Sample_date","Ta","TaVRN2","VRN1","VRN3-3","deltaCT_VRN1","deltaCT_VRN2","deltaCT_VRN3"
"28","A7","BW",6,25.5742282867432,29.46457862854,NA,NA,NA,3.89035034179688,NA
"29","A8","BS",3,25.9511032104492,33.5570373535156,26.9061450958252,30.6969966888428,0.955041885375977,7.60593414306641,1.74589347839355
"30","A8","BS",9,25.6529293060303,NA,28.7514095306396,29.1490898132324,3.09848022460938,NA,0.496160507202148
"31","A8","BS",12,26.759880065918,NA,30.9938182830811,NA,4.23393821716309,NA,NA
"32","A8","BW",6,25.6107902526855,NA,NA,NA,NA,NA,NA
"33","A9","BS",3,26.0351505279541,NA,27.1040706634521,30.7010536193848,1.06892013549805,NA,1.66590309143066
"34","A9","BS",9,25.5876579284668,31.910026550293,28.4436740875244,29.0950946807861,2.85601615905762,6.32236862182617,0.507436752319336
"35","A9","BS",12,26.8677310943604,NA,30.7598972320557,NA,3.89216613769531,NA,NA
"36","A9","BW",6,25.2022171020508,29.6372966766357,NA,NA,NA,4.43507957458496,NA
"37","B1","BS",1,25.6659526824951,32.4004364013672,26.9671497344971,31.8996124267578,1.30119705200195,6.73448371887207,3.2336597442627
"38","B1","BS",7,25.8203544616699,NA,27.6939182281494,31.4590625762939,1.87356376647949,NA,2.63870811462402
"39","B1","BW",4,25.528772354126,30.6492481231689,NA,NA,NA,5.12047576904297,NA
"40","B1","BW",10,26.0530033111572,31.277530670166,NA,NA,NA,5.22452735900879,NA
"41","B2","BS",1,25.6801414489746,32.1278953552246,26.8665771484375,32.4324226379395,1.18643569946289,6.44775390625,3.75228118896484
"42","B2","BS",7,25.8107318878174,31.7560062408447,27.5254859924316,31.3361377716064,1.71475410461426,5.94527435302734,2.52540588378906
"43","B2","BW",4,25.4735507965088,30.5541305541992,NA,NA,NA,5.08057975769043,NA
"44","B2","BW",10,25.9892520904541,31.4819221496582,NA,NA,NA,5.4926700592041,NA
"45","B3","BS",1,25.6781406402588,31.9460334777832,26.8036289215088,32.8827514648438,1.12548828125,6.26789283752441,4.20461082458496
"46","B3","BS",7,25.541389465332,31.5688991546631,27.3494930267334,30.9889087677002,1.80810356140137,6.02750968933105,2.44751930236816
"47","B3","BW",4,25.5727138519287,NA,NA,NA,NA,NA,NA
"48","B3","BW",10,25.9269104003906,NA,NA,NA,NA,NA,NA
