"plate","Genotype","Pot","EGF1a_mean","Ta54227_mean","VRN1_mean","VRN2_mean","VRN3_mean","Time","EdeltaCT_VRN1","EdeltaCT_VRN2","EdeltaCT_VRN3","TdeltaCT_VRN1","TdeltaCT_VRN2","TdeltaCT_VRN3"
1,"OT","66",24.9785315195719,NA,27.0995922088623,NA,26.8889319101969,2,0.229877841152908,NA,0.266018707293489,NA,NA,NA
2,"OT","140",24.9879449208578,26.8677978515625,25.9336347579956,NA,26.8954315185547,2,0.519181241277355,NA,0.266556524841055,1.91078187033036,NA,0.981028077654404
2,"OT","183",26.0785226821899,27.3069267272949,26.6444187164307,NA,27.0350971221924,2,0.675535722031544,NA,0.515278949170006,1.58283186097637,NA,1.20733798589355
1,"SCN","39",29.154052734375,29.6451272964478,36.3541221618652,35.6229572296142,34.6324634552002,2,0.00680084898742968,0.011289266045535,0.0224302464029929,0.00955853434031029,0.0158669656351138,0.0315255170201418
1,"SCN","63",28.0610885620117,29.0967324574788,32.1289415359497,34.2939968109131,NA,2,0.059628548386716,0.0132955913065769,NA,0.122240217581719,0.0272563397594907,NA
2,"SCN","132",27.181318283081,28.1831607818604,36.4247531890869,34.6524124145508,34.2045021057129,2,0.00164986659840882,0.00563607243444733,0.00768795803979976,0.00330395005357851,0.0112865499790853,0.0153955655578474
2,"SCN","188",27.8859697977702,28.0731506347656,29.5020694732666,34.2848243713379,31.1921138763428,2,0.32621619793526,0.0118509409856542,0.101100071413849,0.37140912389014,0.0134927316197496,0.115106144902407
2,"BS","101",25.0502624511719,26.9624290466308,26.3202152252197,NA,27.0096845626831,3,0.414673346824474,NA,0.2571314330621,1.56072225739717,NA,0.967775608752402
2,"BS","189",25.9533853530884,27.0903937021891,26.2030544281006,NA,26.6608492533366,3,0.841089321963473,NA,0.612395717742821,1.84976150772094,NA,1.34680823616853
2,"BS","3",25.8718535105387,27.7576039632161,26.971689860026,NA,27.034086227417,3,0.466569417551451,NA,0.446820500069074,1.72418443053538,NA,1.65120327325821
2,"BS","92",27.0248196919759,28.4789819717407,27.8352877298991,NA,28.839277267456,3,0.570196845139539,NA,0.284311118518176,1.56232461335465,NA,0.779005113931551
