"plate","Pot","Genotype","Time","EGF1a_mean","Ta54227_mean","VRN1_mean","VRN2_mean","VRN3_mean","EdeltaCT_VRN1","EdeltaCT_VRN2","EdeltaCT_VRN3","TdeltaCT_VRN1","TdeltaCT_VRN2","TdeltaCT_VRN3"
"2","99","BS",4,23.9246921539306,25.5098819732666,27.0111064910889,31.0938472747803,NA,0.117732591978219,0.00694815127065042,NA,0.353253432017588,0.020847738432436,NA
"2","171","BS",4,25.5309810638428,27.0712331136068,28.2907829284668,34.8834991455079,32.9817810058594,0.14764435831624,0.00152971851222479,0.00571591452465844,0.429416694458204,0.00444911457818185,0.0166244694275899
"2","20","BS",5,23.6995194753011,25.5820223490397,27.6176891326904,31.4952182769775,30.610761642456,0.0661474954394828,0.00450050059582374,0.00830823554043779,0.243895190854834,0.0165939835585302,0.0306336419744849
"2","86","BS",5,23.9804979960124,25.5103905995687,27.1334807078044,33.9105796813965,33.0354290008545,0.11242363621348,0.00102505590854848,0.00188015718579269,0.324639373635747,0.00295999595192688,0.00542922353065914
"2","109","BS",5,24.4989395141602,25.9473400115967,27.6171404520671,34.0876922607422,32.0824203491211,0.115166981753076,0.00129866699196997,0.00521368510417759,0.314296815455876,0.00354413125794122,0.0142284238076682
"2","172","BS",5,24.0853106180827,25.7637894948324,27.3771476745605,32.6540794372558,30.1523113250732,0.102107655668548,0.00263356207538409,0.0149159460363942,0.326836682902549,0.00842977627192378,0.0477444937205641
"2","46","BS",6,24.187983194987,25.8825092315674,27.5661315917969,32.8600158691407,31.8147640228272,0.0961780577963475,0.00245164758243687,0.00505953029247278,0.311300034060515,0.00793526084227041,0.0163762087576362
"2","88","BS",6,23.2825431823731,25.379753112793,26.7591120402018,31.9061374664306,30.1588923136393,0.0898356039421703,0.00253535892475411,0.00851162831886563,0.384389563824803,0.0108483214723297,0.0364196482614369
"2","100","BS",6,23.9979972839355,25.8337249755859,27.1566314697266,33.4651145935058,29.8890463511149,0.111984100195897,0.00141290745735335,0.016850683630636,0.399728822089834,0.0050433930590308,0.060148752432708
"2","156","BS",6,24.22545337677,25.9499041239421,27.6112664540609,33.4311396280924,30.5084934234619,0.0956684425878231,0.00169360570391901,0.0128415214633512,0.316140477536949,0.00559659278977754,0.0424353592251491
"3","47","BS",7,24.1636905670166,25.8155431747437,27.5229657491048,31.6624526977539,31.2613697052002,0.0974445168219871,0.0055290137286129,0.00730105600441226,0.306206630010851,0.0173742014054533,0.0229426121401541
